(01/38/2020) WARNING -> Trying to _get_font for invalid font pointer. [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/text_driver.cpp:102]
(01/43/2020) WARNING -> Trying to _get_font for invalid font pointer. [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/text_driver.cpp:102]
(01/45/2020) WARNING -> Trying to _get_font for invalid font pointer. [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/text_driver.cpp:102]
(01/47/2020) WARNING -> Trying to _get_font for invalid font pointer. [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/text_driver.cpp:102]
(01/49/2020) WARNING -> Trying to _get_font for invalid font pointer. [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/text_driver.cpp:102]
(01/49/2020) ERROR -> SDLNet_TCP_Open: Couldn't bind to local port [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/network_driver.cpp:98]
(01/49/2020) ERROR -> Failed to create server named GameServer [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:63]
(01/51/2020) WARNING -> Trying to _get_font for invalid font pointer. [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/text_driver.cpp:102]
(01/54/2020) WARNING -> Trying to _get_font for invalid font pointer. [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/text_driver.cpp:102]
(01/09/2020) WARNING -> Trying to _get_font for invalid font pointer. [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/text_driver.cpp:102]
(01/09/2020) WARNING -> Trying to _get_font for invalid font pointer. [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/text_driver.cpp:102]
(01/44/2020) WARNING -> Trying to _get_font for invalid font pointer. [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/text_driver.cpp:102]
(01/44/2020) WARNING -> Trying to _get_font for invalid font pointer. [/Users/acain/Documents/Code/splashkit/coresdk/src/backend/text_driver.cpp:102]
(01/45/2020) DEBUG -> No data received in _c_c_for_data [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:705]
(01/45/2020) DEBUG -> Shutting the connection as no bytes sent [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1171]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
(01/45/2020) WARNING -> Invalid connection or closed connection passed to send_message_to [/Users/acain/Documents/Code/splashkit/coresdk/src/coresdk/networking.cpp:1137]
